Time: 2024-11-12T05:58:18.982Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 6.48 ms
Time: 2024-11-12T05:58:49.788Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 13.67 ms
Time: 2024-11-12T05:58:51.034Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 8.49 ms
Time: 2024-11-12T05:58:51.787Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 6.97 ms
Time: 2024-11-12T05:58:52.559Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 7.09 ms
Time: 2024-11-12T05:58:53.280Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 4.24 ms
Time: 2024-11-12T05:58:54.043Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 5.22 ms
Time: 2024-11-12T05:58:54.654Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 17.99 ms
Time: 2024-11-12T05:58:55.872Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 7.41 ms
Time: 2024-11-12T05:59:18.372Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 20.42 ms
Time: 2024-11-12T05:59:19.901Z | Method: GET | URL: /info?cache=true | Status: 500 | Duration: 5.15 ms
Time: 2024-11-12T06:00:10.421Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 25.51 ms
Time: 2024-11-12T06:00:17.517Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 12.57 ms
Time: 2024-11-12T06:00:19.316Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 10.93 ms
Time: 2024-11-12T06:00:55.666Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 23.43 ms
Time: 2024-11-12T06:10:17.255Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 8.65 ms
Time: 2024-11-12T06:10:22.583Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 10.49 ms
Time: 2024-11-12T06:10:23.513Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 10.06 ms
Time: 2024-11-12T06:10:24.320Z | Method: GET | URL: /info?cache=true | Status: 200 | Duration: 9.95 ms
